university,subject,year,chinese,english,mathA,mathB,physics,chemistry,biology,history,geography,citizen,average,0
淡江大學,理學院,100,1,1,2,NULL,1.5,1.5,NULL,NULL,NULL,NULL,46.4857,43.5017
靜宜大學,社會工作與兒童少年福利學系,100,2,1,NULL,1,NULL,NULL,NULL,NULL,1,2,55,43.4879
國立臺南藝術大學,應用音樂學系(音樂行政組),100,1.5,1.5,NULL,1,NULL,NULL,NULL,NULL,1,1,53.1871,43.4462
靜宜大學,資訊管理學系(資訊管理組),100,2,2,NULL,1.75,NULL,NULL,NULL,NULL,NULL,NULL,50.2,43.4113
國立宜蘭大學,電子工程學系,100,1,2,2,NULL,2,1,NULL,NULL,NULL,NULL,45.9875,43.4098
靜宜大學,西班牙語文學系,100,1.5,1.5,NULL,NULL,NULL,NULL,NULL,NULL,1,1,54.09,43.4037
國立嘉義大學,音樂學系-理論作曲,100,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,56.545,43.3748
銘傳大學,資訊管理學系(桃園校區),100,2,2,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,50.56,43.3675
東海大學,化學系化學生物組(A組),100,1,1.5,1.5,NULL,1,2,NULL,NULL,NULL,NULL,46.3429,43.2929
中國文化大學,韓國語文學系,100,2,2,NULL,1,NULL,NULL,NULL,NULL,1,1.5,53.52,43.2918
東海大學,統計學系(自然組),100,1,1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,47.625,43.2278
國立聯合大學,土木與防災工程學系,100,2,NULL,2,NULL,1.75,NULL,NULL,NULL,NULL,NULL,49.4435,43.2189
國立金門大學,食品科學系,100,1,1.5,NULL,NULL,1.5,2,NULL,NULL,NULL,NULL,46.8833,43.214
銘傳大學,社會與安全管理學系(桃園),100,2,2,NULL,1,NULL,NULL,NULL,NULL,NULL,2,54.1,43.1831
淡江大學,航空太空工程學系,100,1,2,2,NULL,2,1,NULL,NULL,NULL,NULL,45.7625,43.1822
輔仁大學,數學系純數學組,100,NULL,1.25,2,NULL,1.25,NULL,NULL,NULL,NULL,NULL,42.9733,43.1174
靜宜大學,資傳工程系(數位遊戲設計組),100,1.75,1.75,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,49.66,43.0968
國立嘉義大學,林產科學暨家具工程學系,100,1,1.5,1,NULL,1,1.5,NULL,NULL,NULL,NULL,46.54,43.0654
靜宜大學,統計資訊學系,100,2,1.5,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,50.2545,43.0208
國立東華大學,音樂學系-理論作曲,100,1.5,1.75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,54.9486,42.9908
國立聯合大學,機械工程學系,100,2,1,2,NULL,2,NULL,NULL,NULL,NULL,NULL,48.2714,42.971
實踐大學,應用日文學系(高雄校區),100,2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,53.26,42.9418
國立聯合大學,電子工程學系,100,1,2,2,NULL,2,1,NULL,NULL,NULL,NULL,45.5125,42.9292
實踐大學,風險管理與保險學系(臺北),100,2,2,NULL,2,NULL,NULL,NULL,NULL,1,1,52.15,42.8968
銘傳大學,經濟學系(桃園校區),100,2,2,NULL,1.75,NULL,NULL,NULL,NULL,1,1,52.2387,42.8681
靜宜大學,食品營養系食品與生物技術組,100,2,1,NULL,NULL,2,2,NULL,NULL,NULL,NULL,48.4429,42.8431
國立東華大學,音樂學系-大提琴,100,1.5,1.75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,54.8552,42.8267
國立臺東大學,應用科學系化學及奈米科學組,100,1,1,1.5,NULL,2,2,NULL,NULL,NULL,NULL,45.72,42.7453
